ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms
5234,F,Ship,3,5,221,10,medium,F,7,5743
3708,F,Flight,5,4,142,2,high,M,7,5341
1667,C,Ship,4,5,268,3,low,F,59,2083
2642,F,Ship,4,4,163,2,low,F,41,1634
3477,A,Ship,5,2,260,4,medium,F,3,5890
1113,A,Flight,5,1,222,3,high,M,21,2351
3654,F,Ship,5,3,267,3,low,M,9,5258
9135,A,Ship,6,1,289,4,low,M,3,1181
4945,D,Flight,4,1,143,3,medium,M,4,4283
4529,C,Flight,6,1,263,6,low,M,10,5826
1984,B,Ship,3,4,234,2,medium,M,52,3543
4798,B,Flight,6,5,291,4,low,M,9,1413
5654,F,Ship,5,3,189,3,medium,F,7,5830
8699,C,Ship,5,5,242,4,medium,F,2,5359
1912,B,Road,4,2,202,4,low,F,1,3602
1898,F,Road,4,1,226,7,low,M,41,2964
4949,C,Flight,5,4,275,4,low,F,7,4597
2801,C,Ship,3,5,185,2,low,F,36,3501
5238,F,Ship,3,1,176,3,low,F,7,4276
9078,F,Ship,3,2,247,2,high,M,1,4242
5285,C,Ship,7,4,305,4,medium,F,6,1873
1651,D,Flight,4,2,203,5,low,F,20,3098
9707,C,Road,6,3,310,4,low,F,2,1189
2342,F,Flight,3,5,186,2,low,F,39,2197
3781,D,Ship,3,3,231,2,high,F,8,5021
1643,C,Flight,5,3,259,3,low,F,45,3335
2985,A,Ship,3,3,273,6,low,M,6,1771
124,B,Road,3,3,252,2,medium,F,48,2102
1617,A,Ship,3,4,121,3,low,F,63,1611
590,F,Ship,3,2,178,2,medium,F,59,1933
4166,F,Ship,4,3,222,3,low,F,8,4861
3648,F,Ship,4,2,147,3,low,F,5,5174
242,F,Ship,2,4,140,3,low,F,33,1278
2571,A,Ship,3,3,179,3,medium,F,41,1892
2399,C,Ship,6,3,195,2,medium,M,21,3869
1890,F,Ship,3,4,190,10,medium,F,38,2018
7771,D,Ship,4,1,187,2,low,M,5,5691
2089,D,Ship,3,5,156,4,medium,F,26,1769
6945,A,Ship,3,5,155,4,low,F,1,4432
4276,B,Ship,4,4,159,3,low,M,9,4265
4505,C,Road,6,2,263,6,low,F,4,4591
8988,F,Ship,5,2,235,2,low,F,10,4938
1727,C,Ship,5,2,150,3,medium,M,63,1807
2948,F,Ship,2,2,193,3,medium,M,64,2867
1294,B,Ship,5,5,254,5,low,F,35,2508
1497,A,Road,5,2,156,4,medium,M,39,1204
1307,C,Ship,4,3,252,2,medium,M,1,2336
4962,F,Ship,3,3,229,2,medium,F,1,5670
10130,F,Road,4,5,258,2,medium,F,2,4303
4687,D,Ship,4,2,190,6,high,M,5,4139
3347,C,Ship,4,5,151,4,medium,M,10,4796
10747,D,Ship,4,4,252,5,medium,M,1,1539
1822,B,Ship,4,4,226,5,medium,F,12,2708
9487,D,Ship,3,5,211,2,medium,F,9,4577
1134,F,Ship,4,2,227,2,high,M,35,3583
10164,F,Ship,6,1,269,6,medium,F,2,5363
2763,A,Ship,5,1,263,2,medium,F,4,1092
6511,D,Ship,6,2,246,4,medium,M,7,1071
5839,D,Ship,3,2,133,2,low,F,3,4677
5064,F,Road,4,2,209,2,medium,F,9,5131
1451,C,Ship,3,4,285,6,low,F,27,2249
2356,B,Ship,4,3,228,4,low,M,61,3583
8862,F,Ship,6,3,260,4,low,F,1,1775
10028,F,Ship,5,5,207,4,low,F,1,5035
6710,F,Flight,5,3,171,2,medium,F,1,5385
5762,F,Flight,7,3,244,5,medium,F,10,1913
8722,B,Ship,4,5,198,2,medium,F,9,4108
4148,F,Ship,5,1,235,3,low,F,7,5061
8312,F,Ship,4,1,237,5,low,F,5,1041
7962,F,Flight,7,1,308,4,medium,M,5,1705
9300,F,Road,3,3,173,2,low,M,5,4703
6068,F,Ship,4,4,163,3,low,F,5,4440
10824,F,Flight,5,5,203,2,low,M,10,4790
1345,D,Road,3,4,147,3,low,F,2,1307
6348,F,Ship,4,4,198,2,low,M,6,5520
4080,F,Ship,5,4,160,3,high,M,2,5876
8524,B,Ship,4,1,234,2,medium,M,4,5066
4030,B,Ship,4,1,209,2,low,F,10,5066
533,C,Road,4,3,192,3,low,F,43,3498
7894,B,Ship,4,2,263,3,low,F,7,5395
10334,F,Ship,4,1,166,5,low,F,9,4472
5009,C,Ship,3,2,262,7,high,M,5,5985
10789,D,Ship,4,3,241,5,low,M,6,1324
3226,B,Ship,4,4,151,2,low,M,3,4105
7692,F,Ship,4,3,140,2,medium,F,2,5042
7474,B,Ship,5,4,242,5,medium,M,1,1824
5414,F,Ship,4,5,199,2,low,F,8,4463
6172,B,Flight,5,5,189,3,low,M,7,5717
8467,D,Ship,2,2,156,3,low,F,5,5628
5115,A,Ship,5,3,197,3,medium,F,2,4678
1339,D,Ship,3,3,144,3,low,M,1,1274
10197,A,Ship,5,5,243,6,low,M,9,1348
9763,D,Ship,6,4,225,4,medium,M,10,4723
6978,F,Road,6,2,215,5,low,F,7,4057
5279,C,Ship,6,4,298,4,medium,M,9,1629
7467,A,Ship,6,4,250,4,low,M,2,1969
3239,C,Ship,4,3,250,3,medium,F,3,5055
699,A,Flight,4,3,264,3,medium,M,23,2376
1480,B,Ship,3,5,225,3,medium,M,8,3813
6210,F,Ship,4,3,273,10,medium,M,6,4251
6816,F,Ship,4,1,255,5,low,F,4,1005
567,A,Ship,3,1,163,4,low,F,20,1940
3943,D,Ship,5,1,181,4,medium,F,4,5505
3907,D,Ship,4,4,272,5,low,F,3,5243
6599,C,Ship,4,3,264,5,medium,M,3,1639
223,D,Ship,4,2,192,3,high,M,4,2061
5117,C,Ship,4,1,258,4,low,M,5,5664
5885,C,Road,3,3,169,3,low,M,10,5147
1776,F,Road,5,5,190,4,medium,M,12,2947
5367,A,Ship,3,4,166,2,low,F,10,5258
209,C,Ship,2,4,152,3,low,M,55,1498
5112,F,Ship,3,3,141,3,low,F,7,4954
4344,F,Ship,4,4,204,2,medium,F,9,4462
5682,F,Ship,5,4,229,3,low,M,1,5660
6403,D,Ship,4,5,144,2,medium,M,8,5478
10865,C,Ship,5,3,148,3,low,M,7,4714
10973,C,Flight,4,1,249,5,low,F,10,1762
6526,B,Ship,4,4,177,6,low,M,6,5451
9268,B,Ship,4,2,145,3,medium,F,7,5823
718,B,Ship,4,1,241,2,low,F,39,2935
2120,F,Ship,3,3,218,3,low,M,19,3770
10961,C,Flight,4,4,258,3,medium,M,4,4578
2153,C,Ship,4,2,191,2,low,M,11,3985
6818,F,Ship,7,2,302,4,low,M,6,1632
9856,B,Road,2,2,260,3,medium,F,6,4747
936,F,Road,5,2,208,3,medium,M,8,3442
1833,A,Ship,3,4,166,2,medium,F,58,1319
2039,C,Road,3,2,254,2,low,M,37,2469
2211,A,Ship,5,1,137,2,low,M,52,1012
7366,B,Ship,5,5,258,4,high,F,5,4562
10409,C,Flight,6,4,268,4,low,M,9,1793
4971,A,Ship,5,5,233,3,high,M,5,5330
3844,B,Flight,3,1,199,6,medium,F,7,4805
3123,A,Ship,4,1,237,4,medium,F,22,2231
2077,D,Ship,3,4,172,10,high,F,23,1875
5593,D,Road,4,4,264,4,medium,M,9,5186
1560,F,Ship,3,1,171,2,low,M,1,1629
4961,C,Ship,2,4,158,5,medium,F,2,4303
8428,B,Ship,2,2,271,4,medium,M,9,4066
1693,D,Ship,4,4,212,4,medium,F,2,3830
942,F,Road,5,4,165,2,high,M,46,1482
5411,C,Ship,4,2,149,5,medium,F,8,4209
836,F,Flight,3,5,218,4,medium,M,60,3048
5884,B,Road,3,2,157,2,low,F,7,5228
4044,F,Ship,3,3,185,3,medium,F,10,4387
2400,F,Ship,6,2,276,6,medium,M,7,2437
7124,F,Flight,4,1,168,2,medium,F,8,5276
1350,F,Road,2,4,257,6,low,M,5,3986
778,B,Ship,5,1,234,2,low,M,12,2372
93,A,Ship,4,4,175,2,medium,F,7,1188
6504,F,Ship,5,2,244,5,low,M,10,1699
9176,F,Flight,5,3,224,5,medium,M,9,1643
865,D,Ship,3,4,187,2,high,M,8,3725
9758,F,Ship,2,5,249,3,low,F,3,4169
7593,A,Ship,5,1,256,2,medium,F,1,5352
9700,B,Ship,6,3,310,5,low,M,6,1139
703,D,Ship,3,4,265,8,low,F,35,3299
1708,B,Ship,3,1,254,3,medium,F,35,2965
5052,F,Road,3,1,149,3,medium,M,5,4805
7395,A,Flight,4,2,223,5,medium,F,3,4480
1194,F,Ship,3,4,266,2,high,M,49,2643
6021,A,Road,6,4,300,4,medium,F,7,1607
1165,D,Ship,5,2,230,6,low,M,10,3604
3087,A,Ship,3,2,223,2,low,M,64,3595
7808,F,Flight,3,5,175,3,high,F,6,5150
5761,D,Flight,6,1,290,4,medium,M,6,1505
3523,D,Ship,5,3,181,4,low,F,2,5332
3929,C,Ship,4,3,206,4,medium,M,1,4812
4936,B,Flight,3,2,178,3,low,M,4,5119
7995,A,Ship,4,5,150,3,high,F,10,5767
9228,F,Ship,3,1,132,3,medium,F,5,5978
1175,C,Ship,4,3,260,2,low,M,38,2526
9384,F,Ship,5,4,157,7,medium,M,3,4723
10222,B,Ship,4,5,237,5,low,F,9,1978
10775,C,Ship,4,1,272,5,medium,F,1,1149
1562,F,Ship,4,4,265,3,medium,F,47,3307
8834,F,Ship,7,3,307,4,low,F,1,1589
5028,F,Ship,7,4,295,4,low,M,5,1239
4802,F,Flight,6,1,255,4,low,F,2,1385
2543,C,Ship,2,5,190,8,medium,M,11,2976
3953,C,Road,3,1,254,4,medium,M,9,4571
4756,B,Ship,6,4,291,4,low,F,8,1131
2732,F,Road,3,3,236,2,medium,F,58,3360
477,A,Ship,4,2,149,3,medium,M,26,1863
2122,B,Ship,4,4,168,2,medium,M,63,1474
6284,F,Road,5,1,231,5,low,M,10,1418
4585,D,Ship,3,1,156,3,medium,M,9,4278
8622,F,Road,4,2,246,5,low,M,9,1206
3076,B,Ship,4,4,182,2,low,F,13,3332
8374,B,Flight,2,1,168,4,low,M,6,4800
2369,C,Ship,2,1,180,2,medium,F,31,1078
9963,A,Ship,4,2,255,5,low,F,7,1378
9497,C,Ship,3,3,221,3,low,F,5,4388
5419,D,Ship,5,5,209,2,low,F,3,4348
10870,B,Ship,4,2,146,3,medium,M,7,4381
5293,D,Ship,3,2,205,2,low,M,6,4853
9489,A,Ship,3,3,203,3,medium,F,4,5548
5618,F,Flight,5,4,281,3,low,F,10,5675
10663,D,Road,5,2,255,6,low,M,6,1610
7908,F,Ship,3,2,251,4,high,F,7,4038
7117,D,Road,4,3,192,4,high,F,1,5669
7724,F,Ship,6,1,293,4,low,F,10,1534
887,C,Ship,4,2,271,3,low,F,19,2693
2462,F,Flight,3,3,246,3,low,M,27,3648
7530,F,Road,5,2,204,5,low,M,3,5723
7664,F,Road,3,1,252,2,low,M,9,5050
2194,B,Flight,3,2,272,3,medium,F,40,3766
8004,F,Ship,7,3,308,5,medium,M,10,1152
5225,C,Ship,3,1,221,3,high,M,1,4948
2816,F,Ship,4,1,161,3,low,M,59,1454
3977,C,Flight,5,1,220,3,medium,M,8,5727
6523,D,Ship,3,5,270,6,medium,F,9,4195
5328,F,Road,3,2,254,2,medium,F,10,5608
1369,D,Flight,4,3,247,4,low,F,19,3838
10323,A,Ship,2,1,96,2,high,F,9,4449
2659,D,Ship,3,3,160,4,medium,M,58,1496
2060,F,Flight,5,2,265,3,medium,F,33,2734
6369,A,Ship,4,2,247,4,high,F,9,4588
9557,C,Ship,3,1,257,2,medium,F,2,5815
990,F,Ship,3,2,182,2,low,F,40,2592
6304,B,Flight,6,5,301,4,low,F,3,1958
1553,C,Ship,4,1,211,2,medium,F,44,3099
7085,C,Ship,4,1,168,2,medium,F,1,5698
2073,A,Ship,3,1,235,10,low,M,7,2991
4348,B,Ship,3,5,155,4,low,M,6,5386
213,A,Ship,2,5,127,3,low,M,44,1341
9425,C,Ship,7,5,256,4,medium,M,4,1139
1510,B,Flight,3,3,223,2,medium,M,30,3622
6988,B,Flight,3,5,210,3,low,M,6,5566
8186,F,Ship,3,3,250,2,medium,F,4,4380
3638,F,Ship,5,5,136,3,low,M,4,4218
210,F,Ship,2,5,148,3,high,F,11,1502
5896,B,Flight,4,5,257,3,medium,M,5,4180
1340,F,Ship,2,2,240,3,low,M,53,2980
2437,D,Ship,3,1,169,2,medium,F,19,1183
8514,F,Ship,6,3,98,6,low,M,9,4787
6243,A,Ship,4,5,251,2,medium,F,8,5232
10286,F,Flight,4,2,107,2,low,F,8,4460
5430,F,Ship,3,4,156,3,medium,M,6,5255
639,A,Ship,6,2,269,4,medium,M,38,3171
2950,B,Ship,3,5,207,4,low,F,45,3770
3980,F,Flight,4,4,261,3,medium,M,2,4140
8966,F,Ship,3,5,178,3,low,F,7,4135
5715,A,Ship,4,2,258,7,medium,M,3,4538
6771,A,Ship,3,2,137,3,low,F,4,5617
7854,F,Ship,5,5,243,3,medium,M,3,5700
4287,A,Ship,3,5,170,7,low,F,7,4373
10484,F,Ship,4,2,253,5,medium,F,3,1092
608,F,Ship,3,1,167,2,high,F,34,1967
2753,C,Flight,5,4,167,7,medium,F,23,1691
9705,A,Road,5,2,272,5,low,M,8,1317
985,D,Ship,3,3,167,3,medium,F,24,1111
1361,C,Road,5,5,230,2,medium,F,36,3381
1150,B,Ship,4,2,193,2,high,F,48,2371
294,F,Ship,3,2,136,4,low,M,62,1090
6106,B,Ship,3,5,186,3,medium,M,7,4764
3107,C,Ship,4,2,175,3,medium,F,34,1005
5915,C,Ship,4,5,205,4,medium,F,5,5264
4715,C,Ship,4,2,242,3,medium,M,8,4644
9289,D,Ship,4,2,168,6,medium,F,9,4030
3934,B,Ship,6,3,280,3,low,M,7,4620
10260,F,Road,3,4,160,4,low,M,1,5341
4141,D,Ship,3,5,232,3,low,M,10,5333
8335,D,Road,6,4,275,4,low,M,10,1005
10035,A,Ship,4,4,102,3,high,F,9,5644
4958,F,Ship,6,4,151,3,low,F,10,5414
923,C,Ship,4,1,208,7,high,M,8,2193
5845,D,Ship,3,4,98,3,low,M,5,4432
1304,F,Ship,4,3,138,3,medium,M,15,1080
6798,F,Ship,4,4,250,3,low,M,10,4505
1090,B,Road,3,1,112,5,medium,F,41,1249
10592,F,Ship,4,2,222,2,low,M,1,5028
7252,B,Road,3,1,190,3,low,F,1,5065
1233,A,Flight,4,2,166,3,low,M,5,1610
1885,D,Ship,5,4,269,3,medium,F,51,3415
584,F,Ship,5,5,182,3,medium,F,27,3039
3237,A,Ship,2,5,231,2,low,F,10,4406
2226,F,Ship,3,1,147,2,medium,M,52,1934
8900,F,Road,5,1,236,5,medium,M,10,1961
3740,F,Ship,3,5,159,3,medium,F,1,4314
3331,D,Ship,6,3,224,6,high,M,8,5661
9129,A,Ship,3,1,250,3,low,F,7,4760
3923,C,Ship,5,4,117,3,medium,F,4,5332
10499,C,Ship,3,4,247,3,medium,M,8,5792
2147,C,Ship,3,3,133,6,low,F,10,1686
5418,F,Ship,4,2,150,3,low,M,6,5787
6201,A,Ship,4,1,153,2,low,F,1,4027
2524,B,Ship,5,5,133,10,medium,M,9,1724
2853,A,Road,4,4,153,3,low,F,27,1613
8910,F,Flight,7,2,288,4,high,M,4,1321
2709,A,Ship,3,1,150,3,medium,F,8,1745
6521,C,Ship,3,3,216,8,medium,M,4,5329
2843,C,Ship,5,5,172,2,medium,F,40,1446
7964,F,Ship,5,1,236,6,low,M,4,1123
6095,C,Ship,4,4,215,2,high,F,6,5238
10080,F,Ship,5,3,172,3,medium,F,3,4056
10481,C,Ship,5,4,241,5,medium,M,1,1924
1152,F,Ship,2,2,176,5,low,F,55,1211
3644,F,Ship,5,5,155,3,medium,F,6,4109
10805,C,Road,4,3,268,5,medium,M,7,1932
3468,F,Ship,3,1,180,3,low,F,10,5633
8465,C,Ship,4,3,241,2,medium,M,3,4636
8892,F,Road,5,3,240,5,low,M,4,1389
9840,F,Road,4,4,224,2,low,F,3,4817
2065,D,Flight,3,4,156,4,medium,F,7,1492
6876,F,Ship,5,2,248,5,low,M,4,1284
5219,C,Flight,6,3,274,4,low,M,2,1833
5214,F,Flight,7,3,306,4,medium,M,4,1739
4373,C,Road,3,3,190,3,medium,M,2,4468
1543,D,Ship,3,5,160,2,medium,F,41,1495
7061,C,Ship,3,1,173,3,low,F,3,4453
3230,F,Ship,4,1,133,2,medium,M,8,4277
7671,A,Flight,6,4,284,4,low,F,9,1436
4786,B,Road,3,4,211,3,high,M,1,5144
9699,A,Ship,4,2,231,5,low,F,2,1465
4192,B,Ship,3,3,272,3,low,M,2,4059
3068,F,Ship,5,5,180,4,high,M,10,1200
3233,C,Ship,3,3,255,2,low,M,8,5955
10905,A,Ship,4,2,218,2,low,M,4,4299
4403,C,Ship,4,2,193,2,medium,F,1,5909
4213,D,Ship,3,5,222,3,low,M,4,5149
141,A,Flight,4,4,264,3,high,M,59,2020
6866,F,Flight,6,3,266,4,low,F,9,1876
8366,F,Flight,5,1,248,4,low,F,6,1944
158,F,Ship,3,2,203,2,medium,F,39,3845
9435,A,Road,3,1,146,5,low,M,10,1737
6379,D,Ship,4,4,174,2,medium,F,2,5892
10997,C,Ship,5,4,242,5,low,F,4,1155
2544,F,Ship,3,3,138,6,medium,M,49,1078
9065,C,Ship,4,3,260,4,low,F,5,5307
3659,C,Ship,3,2,243,3,medium,F,8,4093
2567,C,Ship,2,4,139,8,medium,F,62,1180
8298,F,Ship,4,1,270,10,medium,F,5,5494
5402,F,Ship,5,3,245,4,high,M,8,4129
10219,D,Ship,5,3,274,5,medium,M,7,1696
2167,D,Road,3,4,244,3,low,F,46,2844
8504,F,Flight,3,1,202,2,medium,F,10,4412
3576,F,Flight,4,5,275,6,medium,M,10,1400
5258,F,Ship,6,1,275,4,low,F,5,1228
4629,A,Ship,3,3,173,5,medium,F,10,5840
1189,D,Ship,4,5,143,8,low,M,38,1095
82,B,Ship,2,5,132,3,low,M,18,1759
123,A,Road,4,2,160,3,low,M,64,1714
1781,C,Flight,4,2,237,2,medium,F,6,2965
23,C,Ship,2,5,156,2,low,M,2,1750
3837,A,Flight,3,4,215,2,low,F,8,5683
6341,C,Ship,3,5,139,2,low,F,7,4449
5505,A,Ship,6,2,282,4,medium,M,8,1553
554,F,Flight,2,3,257,4,medium,F,52,2073
7216,B,Ship,6,2,254,5,low,M,7,1638
9693,A,Ship,6,4,292,4,medium,M,5,1793
4645,D,Road,5,3,222,2,medium,M,3,4460
8748,F,Road,5,5,221,3,medium,M,9,5295
3216,F,Ship,3,1,196,3,low,M,10,4546
8868,F,Ship,4,5,246,5,low,F,2,1024
1276,B,Ship,4,3,210,2,medium,M,22,3124
5479,D,Flight,3,4,225,2,high,M,5,5997
10620,F,Ship,4,1,270,2,low,M,4,4369
3193,D,Ship,4,5,273,3,medium,M,2,4374
716,F,Ship,4,1,137,4,high,M,15,1391
4358,F,Road,5,1,201,3,low,M,4,5166
2178,F,Road,4,4,139,3,high,F,64,1415
9909,A,Ship,4,5,258,5,medium,M,2,1481
998,F,Ship,3,5,164,3,medium,F,43,1423
7140,F,Flight,5,1,262,6,medium,M,1,1696
6469,D,Ship,3,5,206,2,low,F,4,4080
9927,A,Ship,5,1,233,5,medium,F,6,1631
4293,A,Ship,3,2,133,3,medium,M,1,5026
7454,F,Ship,6,5,305,4,low,F,6,1787
5865,A,Road,4,3,134,2,low,F,2,4522
7425,A,Ship,6,2,257,4,medium,M,2,1012
1300,B,Ship,3,4,160,2,medium,M,32,1085
3364,B,Ship,5,2,244,3,low,M,2,4198
4517,C,Flight,3,1,255,7,low,F,3,4477
320,F,Ship,4,5,213,4,low,M,39,2381
6874,B,Ship,5,2,240,6,medium,F,2,1852
8800,B,Ship,2,4,248,3,low,F,7,4142
9399,A,Ship,7,3,267,4,medium,F,10,1548
10000,B,Flight,3,3,158,3,low,M,1,5502
2064,F,Flight,4,1,124,2,medium,M,22,1714
1915,D,Flight,5,2,223,3,low,F,51,3687
4500,F,Road,3,5,170,3,low,F,5,5064
1751,C,Ship,3,1,142,4,low,M,4,1583
2807,C,Ship,3,1,187,4,medium,M,42,3621
10107,A,Ship,4,2,199,3,low,M,7,5342
10047,A,Ship,3,2,187,3,medium,F,7,5334
5269,D,Ship,7,2,296,4,low,F,6,1005
3222,F,Ship,3,4,155,2,low,M,3,5481
3862,B,Ship,4,5,226,2,high,M,2,5881
6225,A,Ship,4,2,217,6,medium,F,3,1732
9125,C,Ship,4,5,233,3,medium,F,2,4501
264,F,Road,3,2,226,2,medium,M,45,1446
4673,C,Flight,5,3,256,2,low,M,3,4456
1528,B,Ship,5,5,229,2,medium,F,59,3844
10091,C,Ship,4,5,141,2,low,M,1,4395
1010,F,Ship,4,4,142,4,low,F,8,1777
2286,F,Ship,4,1,135,2,high,F,25,1009
9346,B,Ship,4,1,157,2,medium,F,7,4690
5729,C,Road,5,5,227,5,medium,F,3,1687
5576,F,Ship,3,4,214,2,low,M,10,4794
8200,B,Road,5,4,180,4,medium,F,7,4200
4853,C,Ship,4,4,254,4,low,F,10,4827
9100,B,Ship,6,5,282,4,low,M,5,1364
763,D,Ship,6,5,176,4,medium,M,31,1262
6591,A,Flight,5,4,267,5,medium,F,10,1837
10352,F,Ship,2,5,228,3,low,M,8,5643
4307,C,Ship,4,3,191,3,medium,F,6,4563
6654,F,Ship,5,1,179,2,low,F,3,5417
910,B,Ship,4,5,186,10,low,F,42,3521
1400,F,Ship,5,2,165,2,medium,F,18,1918
85,D,Ship,4,5,197,2,medium,F,40,2710
4820,F,Ship,6,5,310,4,medium,M,1,1105
2118,F,Ship,3,2,135,2,medium,F,2,1150
4634,F,Road,4,3,134,4,low,M,3,5233
8048,F,Ship,6,5,301,5,low,M,8,1443
9318,F,Flight,5,2,217,2,medium,F,6,4120
70,B,Ship,3,5,206,3,medium,M,39,2929
4211,C,Ship,4,3,266,3,medium,M,8,4493
2436,F,Ship,3,2,207,2,medium,F,37,2460
10029,A,Ship,3,5,271,3,low,M,2,5229
3040,B,Ship,4,4,177,3,medium,M,23,1142
6023,C,Road,6,1,295,4,medium,F,6,1611
7957,D,Flight,5,5,229,6,low,F,6,1857
10661,C,Road,5,1,257,5,medium,F,8,1128
1285,D,Ship,5,4,214,2,medium,F,1,3709
9772,B,Ship,3,5,211,2,low,F,5,5877
9001,D,Ship,5,3,150,2,high,F,9,4446
6153,A,Road,3,1,226,3,low,F,8,4002
8136,F,Ship,6,2,213,2,medium,F,7,5415
6303,A,Flight,7,2,307,4,medium,M,2,1073
7002,F,Flight,4,1,181,2,low,M,2,4154
1394,F,Ship,5,2,239,2,medium,F,59,2897
8358,F,Flight,4,5,247,5,medium,M,6,1737
2919,A,Ship,3,5,252,3,low,M,18,3701
7013,C,Ship,4,3,197,3,low,M,2,4410
5734,B,Road,3,2,170,2,low,M,2,4214
4493,C,Ship,4,4,252,4,medium,F,4,4832
3324,F,Ship,5,1,244,2,low,F,5,4125
3574,B,Flight,3,4,143,4,medium,M,5,5545
5347,D,Flight,3,1,191,2,medium,F,10,5073
7772,F,Ship,3,3,167,4,medium,M,1,5301
587,C,Ship,3,2,158,3,high,F,59,1307
3039,A,Ship,4,3,276,4,low,F,3,3889
6645,A,Ship,4,3,258,2,low,F,3,4555
9947,C,Ship,7,3,262,4,low,F,1,1384
9021,A,Road,3,2,124,5,medium,M,10,5348
7433,C,Ship,5,2,254,2,low,F,5,4985
52,B,Ship,4,4,141,3,low,M,22,1735
10265,C,Road,3,4,136,3,low,F,4,5368
7495,D,Ship,4,5,269,5,low,F,3,1118
5627,C,Flight,4,4,139,2,high,F,9,4446
9861,A,Flight,3,2,247,3,low,M,3,4338
9684,F,Ship,4,1,234,5,low,M,3,1134
7152,F,Ship,6,5,283,4,low,M,3,1374
7501,D,Ship,7,2,300,4,medium,F,10,1179
6183,A,Ship,5,5,269,3,low,F,5,5673
8349,A,Road,6,1,278,4,medium,M,6,1576
7149,A,Ship,6,2,247,4,medium,M,8,1941
7932,F,Road,4,3,153,7,medium,F,4,4499
3541,D,Road,4,5,154,4,medium,M,7,4938
5176,B,Ship,5,3,222,2,low,F,2,5953
6680,F,Ship,5,4,153,3,low,M,5,4711
3796,B,Ship,3,5,252,3,high,F,4,4248
5837,C,Ship,4,2,168,3,low,M,3,4653
1901,C,Road,4,4,192,3,medium,M,39,2943
2294,F,Ship,3,5,225,3,low,F,12,2721
3128,F,Road,3,3,193,2,low,M,19,3097
8057,C,Road,5,3,258,3,medium,F,1,5719
8631,A,Flight,7,1,254,4,medium,M,6,1279
8568,F,Ship,4,2,161,3,low,F,8,4382
202,B,Ship,2,3,160,3,low,F,43,1251
4033,D,Ship,3,5,193,3,medium,M,2,4784
8461,D,Ship,3,5,167,2,medium,F,8,5083
9375,A,Ship,4,1,261,6,low,F,6,5861
6033,A,Flight,6,3,283,5,medium,M,10,1483
4221,A,Road,4,5,204,3,medium,F,4,5476
6018,F,Road,6,3,269,4,low,M,3,1006
2794,B,Ship,3,5,212,3,low,F,19,2703
2797,D,Ship,3,2,145,2,medium,F,29,1690
9307,D,Road,4,1,264,4,low,F,6,4863
7453,D,Ship,7,4,295,4,low,F,10,1217
5834,F,Ship,4,2,252,4,low,F,3,4956
5011,D,Ship,4,3,196,3,low,F,10,4194
4919,C,Road,3,3,162,2,medium,M,7,5719
3169,D,Ship,3,1,273,6,low,F,9,1198
7451,C,Ship,4,4,239,5,low,M,6,1986
10545,A,Flight,4,1,195,2,low,F,3,4165
2057,C,Flight,3,4,196,3,low,M,47,2447
1587,A,Ship,4,5,181,2,medium,M,59,2239
1101,A,Flight,5,2,260,2,medium,M,23,3962
8466,F,Ship,4,5,182,2,medium,F,10,5098
3854,F,Ship,3,3,232,3,low,F,9,5016
5518,B,Ship,7,4,291,4,high,M,4,1248
3572,F,Flight,3,4,217,3,low,F,5,4077
5946,F,Ship,3,5,164,3,high,M,10,4639
7719,A,Ship,3,3,183,5,low,F,3,1504
4561,D,Ship,6,1,280,4,medium,M,5,1431
1711,D,Ship,4,1,227,3,low,M,54,3972
9372,F,Ship,6,2,191,5,low,M,1,4314
5307,A,Ship,4,4,252,3,medium,M,1,5676
9341,C,Ship,3,2,177,3,low,F,5,5941
1282,B,Ship,3,3,110,3,low,M,7,1235
9241,D,Ship,4,4,246,3,low,M,9,5041
4182,F,Ship,4,5,169,2,low,F,10,4248
7712,F,Ship,7,5,267,4,medium,F,10,1067
5971,D,Ship,4,5,271,4,low,M,6,5078
8266,B,Ship,5,5,258,5,low,M,6,1068
5803,D,Ship,3,4,187,3,low,M,7,5417
9412,B,Ship,5,5,236,5,low,F,7,1137
8011,D,Ship,5,3,238,5,high,M,7,1848
2965,D,Ship,3,2,250,3,low,F,37,2736
1066,B,Ship,4,2,166,4,low,F,63,1759
6367,D,Ship,3,5,227,3,high,M,9,4892
5608,B,Road,3,1,166,2,medium,F,9,5853
5871,A,Road,3,1,133,3,medium,M,6,5464
453,A,Ship,3,2,157,2,medium,M,53,1390
7327,D,Ship,5,3,257,5,medium,M,5,4183
3474,F,Ship,3,2,204,4,low,M,4,4745
10568,F,Ship,3,5,233,4,low,F,9,4541
3906,F,Ship,5,4,141,4,high,F,5,5444
3229,D,Ship,5,3,210,5,medium,M,9,5431
7120,B,Flight,3,4,200,4,medium,F,8,4944
2009,C,Ship,3,2,134,3,medium,F,54,1932
9905,C,Ship,3,2,179,8,high,M,3,4584
489,A,Ship,7,5,192,3,low,M,46,1550
10188,F,Ship,5,2,243,6,medium,M,7,1752
7928,F,Road,5,5,218,5,low,M,5,4303
10474,B,Ship,5,5,254,5,low,M,7,1967
6237,A,Ship,4,2,210,3,low,F,9,4163
5867,C,Road,4,4,206,2,high,M,8,4093
4301,C,Ship,5,4,196,3,medium,M,2,5427
